Prey,Bait,Score
NDH03G26520.1,NDH08G20140.1,1
NDH12G35010.1,NDH17G08160.1,1
NDH19G35081.1,NDH09G08620.1,1
NDH14G00720.1,NDH10G22950.1,1
NDH10G02110.1,NDH06G01000.4,1
NDH15G39190.1,NDH16G13990.1,1
NDH15G26260.3,NDH06G13970.2,1
NDH05G04620.1,NDH15G33030.1,1
NDH18G03010.1,NDH15G34810.2,1
NDH07G22490.1,NDH19G37320.4,1
NDH11G32890.1,NDH11G37270.1,1
NDH08G13080.1,NDH04G06230.1,1
NDH05G39540.1,NDH11G15740.1,1
NDH13G11520.1,NDH16G02810.1,1
NDH16G32860.1,NDH04G06230.1,1
NDH04G27250.1,NDH05G05830.2,1
NDH12G35750.2,NDH07G12250.1,1
NDH07G04971.1,NDH13G00110.1,1
NDH15G00090.2,NDH03G38360.1,1
NDH19G40310.2,NDH01G31360.1,1
NDH11G33061.1,NDH05G35590.1,1
NDH19G15290.1,NDH06G01000.3,1
NDH02G04790.1,NDH09G24140.1,1
NDH15G11960.2,NDH11G32290.1,1
NDH13G06340.4,NDH09G28360.15,1
NDH13G50030.1,NDH07G11710.1,1
NDH18G10880.1,NDH14G00260.4,1
NDH08G28330.1,NDH02G01340.1,1
NDH07G26970.1,NDH18G34180.1,1
NDH19G37400.1,NDH04G18070.1,1
NDH13G38710.2,NDH14G31720.1,1
NDH20G03630.1,NDH04G26480.2,1
NDH02G24430.1,NDH19G37400.1,1
NDH20G03830.1,NDH12G35920.1,1
NDH17G35350.1,NDH16G25140.1,1
NDH20G38120.1,NDH10G30320.1,1
NDH13G18131.1,NDH06G01000.4,1
NDH19G14160.1,NDH01G30690.2,1
NDH07G12180.1,NDH14G01820.2,1
NDH20G38120.1,NDH11G10230.3,1
NDH11G28020.1,NDH19G02030.1,1
NDH14G12010.1,NDH06G01000.3,1
NDH03G47250.1,NDH13G22600.1,1
NDH05G29660.1,NDH04G06230.1,1
NDH11G24160.1,NDH08G20110.1,1
NDH15G25940.1,NDH15G39620.1,1
NDH15G06010.1,NDH13G04650.1,1
NDH13G50030.1,NDH07G27210.1,1
NDH12G35010.1,NDH04G05560.2,1
NDH03G01611.1,NDH03G06460.1,1
NDH10G30330.1,NDH12G33020.1,1
NDH10G05290.1,NDH11G25360.1,1
NDH17G36830.1,NDH11G06810.1,1
NDH10G30330.1,NDH01G26120.1,1
NDH14G25440.1,NDH17G35070.2,1
NDH09G18250.2,NDH06G01000.4,1
NDH09G02230.1,NDH19G43710.1,1
NDH15G39560.1,NDH03G24270.1,1
NDH08G18580.1,NDH12G04300.1,1
NDH13G49070.1,NDH03G07770.1,1
NDH11G33010.1,NDH09G13670.1,1
NDH12G35010.1,NDH01G17310.1,1
NDH03G23940.1,NDH13G27570.1,1
NDH07G12180.1,NDH05G05230.1,1
NDH08G07690.2,NDH13G21080.2,1
NDH08G16190.1,NDH19G38890.1,1
NDH10G30320.1,NDH11G00430.1,1
NDH09G23440.1,NDH19G05550.1,1
NDH14G26050.1,NDH12G02120.1,1
NDH07G01030.1,NDH07G22180.3,1
